customer_message,gold_intent,predicted_intent,confidence,expected_decision,predicted_decision,reason
hey amazon how can he sell the phone above MRP @115850 @135832 @135833 @135834 https://t.co/WsrwhXISsQ,other,delivery_issue,0.14105384,ESCALATE,ESCALATE,Low intent-classification confidence.
#AmazonIndia worst service. Almost a month has passed but my refund still not processed. Executive are giving fake assurance every time when I call them. They say that I am handling your concern from now and  when I call next time the new one say may I know your problem.,refund_return,refund_return,0.47332942,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
"@AmazonHelp As per your mail someone was supposed to collect the order today for replacement but nobody came, are you people serious about service or nt",delivery_issue,delivery_issue,0.20360266,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
@AmazonHelp Oui assez :) En tout cas j'attends le black friday avec impatience. Faites moi plaisir ;),other,account_issue,0.16772103,ESCALATE,ESCALATE,Account-related issue requires human verification.
@117634 Kindle Unlimited website and android app down?? Any ETA on fix?,product_device_issue,product_device_issue,0.27350053,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Okey gracias!,other,other,0.3615135,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp why doesn't blue light filter work on kids account on the fire kids edition?,product_device_issue,product_device_issue,0.27182606,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Still the issue is open....how come its taking so long?,other,other,0.20453355,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Yes. I don't think 'on the doormat by the pavement' is anyone's preference. It's completely unsecure.,delivery_issue,delivery_issue,0.20667912,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
Pensando em me dar um Kindle Paperwhite de presente! Acabei de ver o twitt da @117804 que está no #blackfriday &lt;3,other,prime_issue,0.18576743,ESCALATE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp Dernière mise à jour : jeudi 30 novembre
07:14Scan de départ 
Lauwin-Planque, Hauts-de-France, FR
Transporteur : Amazon Logistics, n° de suivi CY0000247563",delivery_issue,order_issue,0.18215626,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Says Monday but I don't have it. I'm confused,delivery_issue,other,0.15402412,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
WHERES MY PC CASE AMAZON. Are loss memes organic.,delivery_issue,other,0.16216934,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp I have had an order frozen for a month. Spoken to reps 5x and it still isn't fixed. Why can't you fix the order?,order_issue,order_issue,0.21703753,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
@AmazonHelp I just opened the email so I don't know 😭,other,other,0.3061681,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
Entrega extremamente rápida da @117086 Parabéns! Já tô atacando os livros https://t.co/VxvvqWbA2y,other,account_issue,0.2423076,ESCALATE,ESCALATE,Account-related issue requires human verification.
@115821 @1145 @AmazonHelp You have not responded to your customer yet. @122869,other,other,0.22646737,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp See after getting amount it happens that eveyone become unable in assisting.,other,refund_return,0.2158535,ESCALATE,ESCALATE,Low intent-classification confidence.
Bonjour @120533! Je viens de parler à @22805 SUISSE. Je sais ENFIN ce qui se passe avec mes 2 colis &amp; pas grâce à vous ni à votre @AmazonHelp Heureusement que c'est entre les mains de https://t.co/4Aukjr25vR 😘😘😘,delivery_issue,delivery_issue,0.19837558,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Still awaiting for a resolution..,other,other,0.29538342,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@115830 @AmazonHelp I have an issue with my orders, I spoke on the phone yesterday and they said I would receive an email investigating the issue. It’s been 24+ hrs and I still haven’t received anything.",other,refund_return,0.24488437,ESCALATE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp it was doing this a few days ago and a factory reset dixednit, for two days. A hard reboot did not resolve.",product_device_issue,product_device_issue,0.26289225,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp Now i realllised amazon is only want there profit,
They dont compensat to customer,
They shout on tv , apni dukan bhaiya apni dukan,
But if a problem happen in there end they don't give proper solution , now i know this after 2 days of calling and chatting with customer support",other,other,0.19448039,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Would be best if you provide a resolution asap...rather dan superfluous tweets,other,other,0.4376066,ESCALATE,ESCALATE,Customer indicates an urgent need for resolution.
"@AmazonHelp The delay message seems to be automatically generated because your tracking data shows it wasn’t delivered. You offer no explanation why it’s delayed- your promise when ordered was to deliver it on 23rd, you didn’t do that! Why not.",delivery_issue,delivery_issue,0.24439631,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp i just ordered this light and after i placed my order it changed my 2 day shipping to next monday ??? https://t.co/RvLY0Ro5Ga,delivery_issue,order_issue,0.21466014,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp Desgraciadamente, la devolución en este caso no es la solución ya que la necesito con urgencia para terminar un trabajo pendiente este fin de semana. Solo espero que al menos funcione correctamente y no me dé ningún problema. Muy defraudado con la gestión de este pedido...",other,account_issue,0.33509004,ESCALATE,ESCALATE,High-risk security or payment concern.
"@AmazonHelp Eh, they don’t know where it is either. The only thing we can all agree on is that it isn’t with me where it should be. Hopefully turn up?!",delivery_issue,product_device_issue,0.27999818,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp done. Hope someone helps and just doesn't give us false promises this time🙄,other,other,0.2841461,ESCALATE,ESCALATE,Issue appears unresolved or repeated.
"@AmazonHelp one order was suppose to be delivered by 30th october , still no tracking available for the same as on 1/11/17",delivery_issue,delivery_issue,0.21618657,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp I write 3 time my info in this link,
People watch working style @115850 
And make dicision
@21563",other,other,0.28181216,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,prime_issue,prime_issue,0.18813854,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
Seriously @115821 what is up with ordering things and it being open?  You guys shipping returned items.  2nd day in a row this happens :SMH: https://t.co/gMyT1z9Zu1,order_issue,delivery_issue,0.23017284,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
Heard a loud bang on the door of my 2nd-floor apartment. Went outside -- an @115821 delivery guy had thrown a package full of Christmas presents from the ground. He was taking a picture of our door (?). Said hello and ran off. I guess this is life after the retail apocalypse?,delivery_issue,delivery_issue,0.40053472,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Sadly yes,other,other,0.35487032,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp #AmazonIndia what would reaching out that to end of day would do..Better try to get this atleast delivered today. That would be more helpful,delivery_issue,other,0.22984266,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp This is height of unprofessionalism. 
@123964 
ARE U BOTH WINDING UP UR OPERATIONS
@120033 @120319",other,other,0.2367613,ESCALATE,ESCALATE,Strong customer dissatisfaction requires human handling.
@AmazonHelp @115821 will someone please get this sorted today? I’ve now had 12 automated emails but absolutely no resolution? I am beyond belief?!?,other,other,0.2538603,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
Muchas gracias por la rapidez y resolución de la atención al cliente y del repartidor de @116928 Todo perfecto y solucionando los imprevistos del reparto del pedido en tiempo record! Geniales! Da gusto este servicio! Enhorabuena por el trabajo! ;),delivery_issue,account_issue,0.29292917,AUTO-HANDLE,ESCALATE,Account-related issue requires human verification.
@126910 @AmazonHelp @126908 macht mal bei eure amaanzon seite ne gecrackte wii rein seh ich aus als hät ich geld für spiele,other,other,0.15362956,ESCALATE,ESCALATE,Low intent-classification confidence.
@117086 Preciso de uma máquina para o curso da minha filha!!! Mas após conversas fico sem resposta e o tempo de entrega é absurdo,delivery_issue,account_issue,0.16873038,AUTO-HANDLE,ESCALATE,Account-related issue requires human verification.
"@AmazonHelp J’ai suivie les instructions, 24h apres aucune nouvelle est-ce normal? Mes commande devais arriver demain je fait comment moi?",delivery_issue,delivery_issue,0.2136982,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp You sent the wrong edition of a book I pre-ordered. This is the 2nd screwup in as many days. I want the correct edition.,order_issue,order_issue,0.18803324,AUTO-HANDLE,ESCALATE,Potentially serious delivery or product issue.
"@116324 @AmazonHelp ordered a package on prime to ensure I got it today, mail from Hermes delayed due to external factors, now due between 24th-28th, what's the point in prime if I have to wait?! @116324.",prime_issue,prime_issue,0.35492688,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp hola, intentamos hacer un pedido con una cuenta nueva de amazon. Se nos solicitó copia del edo de cuenta bancario, la enviamos pero no hemos tenido respuesta en 10 días y el pedido no aparece en el historial. A qué correo podemos comunicarnos?",account_issue,prime_issue,0.24014284,ESCALATE,ESCALATE,Low intent-classification confidence.
"@116316 toll, dass ihr EveningExpress anbietet! 😁 Ihr habt stark nachgelassen. 😞 https://t.co/15PTSRgGFP",delivery_issue,order_issue,0.22669858,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp hahaha simm 😍😍😍 inclusive chegaram essa semana e ja estao na estante: Deuses americanos e Contos de Terror, de Mistério e de Morte.. aaah e uma meia duzia de ebooks :)",other,prime_issue,0.22617882,ESCALATE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp La fecha de entrega indicada al momento de hacer el pedido fue el 29 de noviembre, al escoger ""entrega asegurada en 1 día"" como cliente Prime. Puedo facilitarle captura de pantalla por privado, si me sigue.",prime_issue,prime_issue,0.28000626,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"Hi @116090 ... I ordered a product on Wednesday evening, ""Prime Two-day shipping"" is the default, and I'm told that I'll get it on Tuesday next week? That feels like ""six day shipping"" or maybe five day. It definitely isn't TWO day shipping! https://t.co/KnnTiIWzUR",prime_issue,prime_issue,0.34402892,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Was sent this item in 6x9 size. Trying to return &amp; UPS did not show up today. I'd keep item if I could get refund for price difference. https://t.co/G1a6por32Z,refund_return,order_issue,0.17855789,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@123964 #NOBRAND @115850 @123964 
BOTH PARTIES ARE NOT RESPONDING FOR ONLINE PURCHASE OF GEYSER. WHOLE FAMILY IS  SUFFERING
PLEASE BAN BOTH",order_issue,account_issue,0.26374376,AUTO-HANDLE,ESCALATE,Account-related issue requires human verification.
"@AmazonHelp And if it does prove to be broken, how do I get a replacement in time for her birthday tomorrow morning?!? I really don’t care about future deliveries right now as I’ll be shopping elsewhere if I have nothing to give her when she wakes up tomorrow",product_device_issue,delivery_issue,0.29546008,AUTO-HANDLE,ESCALATE,Potentially serious delivery or product issue.
"@AmazonHelp https://t.co/uepE9W0fzy
Die Bonbons die jede(r) Vielbahnfahrer(in) kennt! :3",other,payment_issue,0.17974152,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Todo directamente vendido y enviado por ustedes.,other,other,0.25935993,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@115821 I have a gift card but that is not useful for me as I am outside us and your import charge is too high and @115850 have similar kind of thing in very lower amount help me with this. Can you transfer it to @115850,payment_issue,payment_issue,0.25895286,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Keep apologies with u.what is the update on my geyser change? Will you give same in summers??,order_issue,product_device_issue,0.17950381,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@115850 this is what I received in box, an offer,  for giving good review to product purchased. Good way to fool customers who trust reviews on your site. @115851 @115821 https://t.co/R8HeKGeMWV",other,refund_return,0.20066139,ESCALATE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",delivery_issue,refund_return,0.18515338,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Et comment je fait.....? https://t.co/UYtFSPehyz,other,order_issue,0.17310883,ESCALATE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp Its out for delivery but not yet done, but by 5 your delivery services will be closed. No intimation yet. Plz prioritise and inform the field executive",delivery_issue,other,0.21612974,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Its very headache so please pick up from your hand. I dont pick up any charges for courier so please arrange from u.,refund_return,delivery_issue,0.1924959,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp The remaining items are still showing as delivered.  They have not been refunded or replaced,refund_return,refund_return,0.2185936,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
@118706 @115821 Package Ripped halfway thru just to see whats inside smh,delivery_issue,delivery_issue,0.24655092,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp Already shared, the order no is 171-9580791-4474727 dated 2nd Nov 2017",order_issue,order_issue,0.24680452,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp It’s working on my tv downstairs now! I’m going to take it upstairs again and see if okay there too now.,product_device_issue,product_device_issue,0.48195827,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
@120474 trying to buy 2 tickets for RAH 'You have exceeded the maximum allowed number of tickets for this event' ???,other,account_issue,0.20621617,ESCALATE,ESCALATE,Account-related issue requires human verification.
@AmazonHelp Your agent who had come to pick up the parcel refused to take it saying it's impossible Amazon would change the product. I'm totally distressed because of you #cheaters,refund_return,order_issue,0.16927715,AUTO-HANDLE,ESCALATE,Customer explicitly requested human support.
@115850 Customer care is not capable of solving issues regarding refund and return. Need to speak to senior manager who can solve the prob,refund_return,refund_return,0.40603665,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@115821 @115850 @AmazonHelp How a delivery person cancel an order? Please rethink your shipment policy. Very disappointed today.,cancellation_issue,cancellation_issue,0.32327774,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp I did not get any kindly resend.,delivery_issue,other,0.23904444,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@115830 maybe your delivery guys could use their common sense -  if my safe place happens to be outside and it's pouring down then perhaps don't leave it! The box of the present I have got someone is just falling apart due to the water! 😠😠,delivery_issue,delivery_issue,0.42096198,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
order id #403-5637109-7077146 has been cancelled or is on time pls help. @AmazonHelp @115850,cancellation_issue,cancellation_issue,0.30516428,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@132150 @120540 Aspetto da lunedì una consegna: che dicono tentata tre volte ma qui da me non si è visto nessuno. Servizio scandaloso. Adesso però magari capisco un pò di più. #BRT,delivery_issue,prime_issue,0.18573183,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"Today is the twins’ 4th Birthday. This is their gift from us - ordered on Sunday with Amazon Prime. We were assured yesterday that it would arrive today but I have just received this message. I understand that these things happen, but I’m hoping you can work some magic @115830 https://t.co/IrX4jcLN6Z",delivery_issue,delivery_issue,0.31295103,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
I’ve fucking moved and I still can’t get a package in time. This time the lazy @118706 said my mailbox is blocked. Total bullshit https://t.co/I8geIIy36F,delivery_issue,delivery_issue,0.25331905,AUTO-HANDLE,ESCALATE,Strong customer dissatisfaction requires human handling.
@AmazonHelp They told me to wait 5 business days to investigate and another 5 days for the refund..what a joke..wasted so much of my time and energy...atleast i should get some compensation,refund_return,refund_return,0.43200588,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp Please do fast all u can do.
I want my refund as fast as possible.",refund_return,refund_return,0.2636154,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp No mail received,other,other,0.31161264,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@130703 @115830 And this is how amazon deal with a request to close down an account. To bombard you with calls at half six in the morning https://t.co/l9HtnvkW67,account_issue,other,0.20320669,ESCALATE,ESCALATE,Low intent-classification confidence.
Amazon- worst experience. Ordered phone got different one. Left with credit card bill and a phone- notmy choice. @115850 @115821 helpless,order_issue,payment_issue,0.17175046,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp Oh my word?!? I put my complaint through the link you provided &amp; did get a response to say the will look into it &amp; lo &amp; behold, ANOTHER AUTOMATED EMAIL?!? Please tell me what I have to do to get a human to answer my questions &amp; for me to get my money back???",refund_return,refund_return,0.26485848,AUTO-HANDLE,ESCALATE,Customer explicitly requested human support.
"@116928 La comodidad de comprar por internet y lo recibes en casa. Si tengo que pasar 3 tardes en casa esperando a @80 no merece la pena, 3 días diciendo ""se lo llevamos hoy"" por lo menos no engañar",delivery_issue,account_issue,0.3304198,AUTO-HANDLE,ESCALATE,Account-related issue requires human verification.
@AmazonHelp Really AB? Why don't you shove it up somewhere appropriately and get your smartest ass people to resolve the query instead of appreciating my vocab...I would love to meet u in person and would like to thank u..let me know when u r interested,other,other,0.2811646,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@115850 Order#406-0952229-5801128 not yet delivered, ws supposed to be delivered on Friday, prime 1 day delivery promise. Marked delivered on Monday",delivery_issue,delivery_issue,0.27991712,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp @AmazonHelp no it just says it will be delivered today,delivery_issue,delivery_issue,0.21859105,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp can you explain why a package I was due to receive yesterday was marked as refused at my address - when no one refused it? Poor.,delivery_issue,refund_return,0.22968717,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp Already filled yesterday 4th time...how many more times do you want me to fill? 😡
Each and every thing needs to performed or explained atleast 20-30 times for you to understand?",other,other,0.21432753,ESCALATE,ESCALATE,Issue appears unresolved or repeated.
@AmazonHelp Do you realise how unhelpful that response is? What do you suggest I do? Stay at work until 8pm? Change delivery to my home address and hope it’s delivered in the evening? Or just not shop with you? I’m all ears.,delivery_issue,delivery_issue,0.25136188,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@115850 Can you please deliver my order a little quick! Please!,delivery_issue,order_issue,0.26007533,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
Fuck sake @115830 what's the point selling stuff then saying it's out of stock a week later. Now gotta pay extra and wait ANOTHER week. Useless. 😒,order_issue,delivery_issue,0.17604752,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@115821 This is NOT Acceptable ! This is not the first time Amazon drops off boxes with apartment numbers and does not deliver!? Left unattended on condominiums complex bench SHSME on Amazon https://t.co/3G0DS99ve5,delivery_issue,delivery_issue,0.27710563,AUTO-HANDLE,ESCALATE,Strong customer dissatisfaction requires human handling.
"@AmazonHelp already filled last time when I twitted. You can check with twitter id , U will find a filled form.  And call me on given number",other,other,0.22043264,ESCALATE,ESCALATE,Customer explicitly requested human support.
@AmazonHelp @115821 consider leaving the delivery of packages to the experts at @115817 or @81. Obvious decline in service when it’s @115821 logistics.,delivery_issue,delivery_issue,0.21587853,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp I just got an email with a new delivery date of Friday.  This is unacceptable.  I've gone days without a bed because of this, and I have no reason to believe it won't be pushed to Saturday and beyond.",delivery_issue,delivery_issue,0.34549525,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp This is what I’m doing now,other,other,0.41637063,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Yes.. not single call got regarding that since Saturday.. I want to return this products and never want to purchase again with amazon,refund_return,refund_return,0.2823659,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
@115821 any idea when this order will arrive? I have a sassy Brit since grocery stopped carrying his @118826 #teatime #isthisatrick https://t.co/wb8uMOsjcW,delivery_issue,delivery_issue,0.27936745,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Depuis 2 jours.,other,other,0.3338643,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp No puedo por que tengo mi cuenta aun bloqueada y ya llame al servicio al cliente para arreglar eso pero aun sigue bloqueada,account_issue,account_issue,0.24069998,ESCALATE,ESCALATE,Account-related issue requires human verification.
"@AmazonHelp When will the winner name will be announced of oneplus5T app quiz",other,product_device_issue,0.21922286,ESCALATE,ESCALATE,Low intent-classification confidence.
@115821 Thank you for refusing my payments since 2 days. First you started with our company (Acc Balance &gt; 230K EUR) and now my private one. I am Customer since 1998 and all I got as explanation was a useless mail-template. Thank you for NO support! Long-term customer no value?,payment_issue,payment_issue,0.20914856,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"3rd @117093 order, 3rd delay email. Perhaps y'all aren't ready for this zip code yet? Trying free month, def not going to pay for this.",prime_issue,delivery_issue,0.22157757,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Yes may I suggest you look at this issue,other,other,0.2645169,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp @AmazonHelp Tx but I mean sending a personalized message w/gift saying ""Happy Bday"" or ""Congratulations"", etc.",other,other,0.24707948,ESCALATE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp Still waiting for your response, let me know how gonna help me in this issue?",other,other,0.20430325,ESCALATE,ESCALATE,Low intent-classification confidence.
J’espère que les #cm après le #blackfriday ont le droit à un week-end tout frais payés au Bahamas. Bon courage à vous si vous me lisez💪.  @7665 @131800 @120533 et tous les autres 🙂 https://t.co/peSQKdaSRA,other,payment_issue,0.17050965,ESCALATE,ESCALATE,Low intent-classification confidence.
Da war @134825 wieder sehr vorsichtig mit meiner Sendung von @AmazonHelp unterwegs 🤷‍♂️😞 https://t.co/hQ96OqGOxz,delivery_issue,order_issue,0.16271326,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@116316 Ist für die Zukunft geplant, dass man Amazon Prime verschenken kann? Wäre das perfekte Weihnachtsgeschenk für meinen Vater.",prime_issue,prime_issue,0.30761445,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Thanks. I am a Big fan of Amazon overall but courier chucked it over fence and it had no packaging 🙄 and it was a Cmas present for me from the Mrs.  Whoops.,delivery_issue,delivery_issue,0.21114269,AUTO-HANDLE,ESCALATE,Potentially serious delivery or product issue.
"@AmazonHelp So i will just accept the refund i did not ask for and buy the book in another place, thank you.",refund_return,refund_return,0.3110522,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp It was all the stations, but I think I fixed it for now. Had to wipe my cache.",product_device_issue,product_device_issue,0.45178434,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@115830 been told my parcel was out for delivery since 630 now I'm told not to expect it till tomorrow. What is going on? It's prime,delivery_issue,delivery_issue,0.3254814,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Want to speak to someone at corp to address these issues.,other,other,0.3381678,ESCALATE,ESCALATE,Customer explicitly requested human support.
@AmazonHelp It says Nov 28 but now they’re estimating to be by Dec 15,delivery_issue,other,0.16213934,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp I still await a call from your end.,other,other,0.25026086,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp I am unable to Use Prime Video even though I am Prime Member it tells me to sign up for prime Membership,prime_issue,prime_issue,0.40358552,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
Es wäre nur noch der Kaufen Button gewesen... aber @116316 war überlastet :( Jz wieder ausverkauft...,order_issue,account_issue,0.15927546,AUTO-HANDLE,ESCALATE,Account-related issue requires human verification.
@AmazonHelp Ok..Fine but you should have to solve my problem,other,other,0.3209312,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp I have had the hassle to provide my concern on the given link twice and it’s a pain. Use the details I already mentioned. I m not doing it,other,other,0.2384743,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Amazon its a complete fraud now u are saying u will ship till 7th please for god sake #help #cancelorder #refund #fraud #poorcustomerservice https://t.co/riuEM7g6om,cancellation_issue,cancellation_issue,0.17763391,ESCALATE,ESCALATE,High-risk security or payment concern.
@AmazonHelp I already dialed your CS team twice and as I am talking I just got the text below: what the hell is wrong with you people! I am waiting https://t.co/TzW6N8vKGH,other,product_device_issue,0.2120163,ESCALATE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp Ah, acho que o ""O Mínimo..."", pois gosto de ensaios. Mas o outro vem em seguida.",other,account_issue,0.19458118,ESCALATE,ESCALATE,Account-related issue requires human verification.
"Hallo @116316, bin mit Ihnen superzufrieden, aber die eigenen Amazon-Lieferanten sind die LETZTEN Louies. Bitte wieder DHL u Hermes!",delivery_issue,order_issue,0.18746783,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
