message,actual,predicted
"What a surprise ANOTHER @115830 delivery driver saying he couldn’t deliver my parcel even though I’ve been in all day and no one has even been near the house, checked all the CCTV. Pay a company to deliver not a guy with a large boot ffs.",other,delivery_issue
@AmazonHelp Ur customer care is disconnecting my call by saying that we would not be able to give you any further I sight over this issue.Please explain,payment_issue,other
"@amazonhelp so frustrated with your customer service. Out for delivery/resched then told packing slip torn, then package damaged.No solution",delivery_issue,order_issue
"@AmazonHelp Amazon video app won't play on @172 smart TV. All loads up OK but as soon as I choose a programme and press play, it just reverts back to the tv...can anyone help?",delivery_issue,product_device_issue
@137089 @115821 We are so sorry to hear this! Can you please DM us your tracking info so we can assist you?  Thank you!,other,delivery_issue
"@115850 @5869 @132995 Sir I have better business mind more then who do MBA, but I have no any platform 
I request give me opportunity for this. I promised I will not get salary one year.",other,account_issue
"@115850 Under the same order ID another product of 617 was delivered, paid 700 asked to add the balance to the wallet, same thing, not added",payment_issue,order_issue
@AmazonHelp This has been the most frustrating and useless customer service ever.,refund_return,other
@AmazonHelp I’ve already done that! There is no way to get help for hub problems there.,refund_return,product_device_issue
@115850 thanks for 5180770843835. Will never forget this... will buy my next product from a roadside vendor but #amazon ever...go to hell,other,delivery_issue
Necesito ayudaaaaa ¿a alguien se le ha retrasado algún pedido en @116928 alguna vez?😔😔,delivery_issue,account_issue
@AmazonHelp Yeap I am contacting the carrier now. Thanks for the support. I have no problem with DHL with the exact same address. Not sure what is Aramex problem,delivery_issue,product_device_issue
"@AmazonHelp To answer your question, the order hadn’t been shipped. This was maybe 1 hour or so after the order was placed.",order_issue,delivery_issue
@116316 hallo ich hätte eine Frage kann man Prime auch mit einem Gutschein bezahlen?,account_issue,order_issue
@AmazonHelp Tranquilos. De momento no hay señal de alarma. El retraso era dentro de lo aceptable.,other,delivery_issue
"@115850 This in unacceptable. You sell a book that has a MRP of Rs. 299 for Rs. 336 to me. Then, you drop the price to 302. https://t.co/Tut8jxM4vd",refund_return,payment_issue
@AmazonHelp Can you call me at 9654057010,refund_return,other
@115850 Indeed the best service. Absolutely loving it. It just needs a bank checkout feature. #AmazonPay #InstantPayment,other,payment_issue
@115830 i've noticed recently all my game pre-orders are scheduled to be delivered a day late. Why is this? 🤔,product_device_issue,delivery_issue
"spoke with @116090 customer service more. Their overall response was ""Sorry, our fault, buy more and we'll do better"" -- I'm going to try my damnedest to avoid ever using Amazon again.",cancellation_issue,refund_return
"@AmazonHelp Ich hab euch mal gemailed :)
Laut Tracking Nr ist das Paket bei einem Nachbarn (im selben Haus) gelandet, welchen ich nicht finden kann.",other,product_device_issue
