customer_tweet_id,customer_message,intent,amazon_reply,escalation_label,escalation_notes,ai_decision,correct
64166,"@AmazonHelp Yes i do!!
And they said that they will contact me in 12hours after my query but they don't!!",other,@130732 We've escalated the issue the to our concerned team. We'll get back to you as soon as we have an update. Appreciate your understanding. ^AR,ESCALATE,Support promised callback but failed to respond,ESCALATE,True
29540,@AmazonHelp The remaining items are still showing as delivered.  They have not been refunded or replaced,refund_return,"@122488 Apologies, please contact us once more here: https://t.co/JzP7hlA23B so an agent can look into this for you. ^JJ",ESCALATE,Refund/replacement unresolved,ESCALATE,True
69702,@AmazonHelp we order an electronic item and it was supposedly delivered yesterday - left outside in rain - no email to say it was delivered,delivery_issue,@131792 Oh no! Sorry to hear this. Was the item damaged?^ES,ESCALATE,Package potentially damaged after improper delivery,ESCALATE,True
76061,@AmazonHelp Would be best if you provide a resolution asap...rather dan superfluous tweets,other,"@133021 We'd like to help you out. However, being on social media, we'll not be able to access your account from here. Kindly fill in your details from the link provided earlier and we'll reach out to you with an update.^AR",ESCALATE,Customer requests immediate resolution,ESCALATE,True
36527,@AmazonHelp Keep apologies with u.what is the update on my geyser change? Will you give same in summers??,order_issue,@123963 We cannot access your account from here. Please reply to our email and we'll get back. ^MN,ESCALATE,Repeated unresolved replacement issue,AUTO-HANDLE,False
13919,"@117634 I ordered the Oasis, my order status showed it was to be delivered today and it did not come. Very disappointed.",delivery_issue,"@118925 Oh no, Kathleen! We want to help. Is there an updated delivery date showing here: https://t.co/Y5jpI9gRhE ^LA",AUTO-HANDLE,Routine delivery-status question,AUTO-HANDLE,True
126085,"@AmazonHelp I can't possibly reply to the rubbish below! I have checked the details and and see this issue is already escalated and the team is investigating on this.

Please allow us 2-3 business days to get back to you.

Please be assured the issue will be resolved.",other,"@144294 We didn't expect this to take longer than expected. As we'll not be able to view your order details on social platform, kindly revert to the correspondence you've received from us and we'll connect with you. ^YP",ESCALATE,Existing escalated case still unresolved,AUTO-HANDLE,False
9810,@AmazonHelp Was sent this item in 6x9 size. Trying to return &amp; UPS did not show up today. I'd keep item if I could get refund for price difference. https://t.co/G1a6por32Z,refund_return,@117798 We would like to investigate further with you. Please reach out to us at your convenience: https://t.co/hApLpMlfHN ^JP,ESCALATE,Return pickup failed and refund requested,AUTO-HANDLE,False
51592,@AmazonHelp Haven't received anything!,other,@127580 It's not uncommon for items to ship and deliver on the same day. Let us know if you don't receive your order by 9:00pm. ^TK,AUTO-HANDLE,Routine delivery-status question,AUTO-HANDLE,True
69806,@AmazonHelp Taking customer for ride ! I need a original product not refund!,order_issue,@131812 You can check for our correspondence here : https://t.co/DTSNmGldJf. Do check with the same and kindly write back. We'll work on it accordingly. Appreciate your cooperation here. ^CB,ESCALATE,Customer disputes product/refund resolution,AUTO-HANDLE,False
76039,"@115830 #sigh. Expecting delivery to a commercial address, the delivery van is 10 minutes from me. What algorithm do you use to arrange deliveries? FIFO? FILO? Bees algorithm? Travelling salesman? https://t.co/1GGWyOmheX",delivery_issue,@133017 I'm sorry for the wait! Please let us know if your parcel isn't delivered by the delivery date given at checkout. ^VF,AUTO-HANDLE,Routine delivery tracking question,AUTO-HANDLE,True
22472,"@AmazonHelp Bonjour, mon problème n'a toujours pas été réglé après remplissage du formulaire",other,"@120912 Bonjour, désolée pour cela, quelle a été la réponse fourni par notre SAV concernant ce souci je vous prie ? ^KE",ESCALATE,Customer says previous support process failed,AUTO-HANDLE,False
113742,"@116324 @AmazonHelp ordered a package on prime to ensure I got it today, mail from Hermes delayed due to external factors, now due between 24th-28th, what's the point in prime if I have to wait?! @116324.",prime_issue,"@141265 Hi! I know that a delay is frustrating, but delays can be caused by various reasons. Please let us know if it fails to arrive within your new delivery window! ^DA",AUTO-HANDLE,Routine Prime delivery-delay issue,AUTO-HANDLE,True
65787,"@AmazonHelp Already filled yesterday 4th time...how many more times do you want me to fill? 😡
Each and every thing needs to performed or explained atleast 20-30 times for you to understand?",other,"@131048 I'm sorry, we haven't received your details yet. Kindly drop the details related to your amazon account in the link here: https://t.co/beaaDm0muc and we’ll contact you at the earliest. ^BV",ESCALATE,Repeated attempts and severe frustration,ESCALATE,True
28939,@117086 Preciso de uma máquina para o curso da minha filha!!! Mas após conversas fico sem resposta e o tempo de entrega é absurdo,delivery_issue,"@122367 Olá Luisa, sinto muito o inconveniente, você tem entrado em contato com nosso SAC a respeito dessa situação? ^AZ",ESCALATE,Severe delivery delay with unresolved support,AUTO-HANDLE,False
91238,@AmazonHelp Okey gracias!,other,"@135785 Con mucho gusto, estamos aquí para ayudarte. ^HC",AUTO-HANDLE,Simple acknowledgement,AUTO-HANDLE,True
35909,@AmazonHelp #AmazonIndia what would reaching out that to end of day would do..Better try to get this atleast delivered today. That would be more helpful,delivery_issue,"@123814 As mentioned earlier, if you've shared your details previously, you'll be seeing a correspondence to your registered 1/2 ^RS",ESCALATE,Customer demands immediate delivery resolution,AUTO-HANDLE,False
122002,@AmazonHelp Don’t think your customer service is capable to be honest.,other,"@143189 We would like to look into this for you, JJ. Without providing us any personal information would you be able to elaborate a bit further?^SM",ESCALATE,Strong dissatisfaction with customer service,AUTO-HANDLE,False
5137,WHERES MY PC CASE AMAZON. Are loss memes organic.,delivery_issue,@116916 I'm sorry you have received your item! Can you please tell us the intended delivery date stated in your order confirmation e-mail? ^AC,AUTO-HANDLE,Routine missing-package query,AUTO-HANDLE,True
21551,@AmazonHelp Really AB? Why don't you shove it up somewhere appropriately and get your smartest ass people to resolve the query instead of appreciating my vocab...I would love to meet u in person and would like to thank u..let me know when u r interested,other,"@120701 earlier by ^PJ, ^SI or ^MJ. Kindly drop in your details using the link provided so that we can help you with a resolution 3/3 ^AB",ESCALATE,Highly hostile interaction requiring human handling,AUTO-HANDLE,False
36539,"@AmazonHelp This is height of unprofessionalism. 
@123964 
ARE U BOTH WINDING UP UR OPERATIONS
@120033 @120319",other,@123963 You'd have received a correspondence from our team. Do check it here:https://t.co/8DAc10S7ww &amp; reply for further concerns. ^EM,ESCALATE,Serious complaint about support,ESCALATE,True
69727,"@AmazonHelp La fecha de entrega indicada al momento de hacer el pedido fue el 29 de noviembre, al escoger ""entrega asegurada en 1 día"" como cliente Prime. Puedo facilitarle captura de pantalla por privado, si me sigue.",prime_issue,"@131797 Manu, siento mucho por los inconvenientes con la entrega de tu pedido, en este caso te pido, por favor, entrar en contacto con nuestro servicio al cliente al siguiente enlace web: https://t.co/qWEjBNmZ1b ^CJ",ESCALATE,Prime delivery failure requiring account/order investigation,AUTO-HANDLE,False
46561,@AmazonHelp You sent the wrong edition of a book I pre-ordered. This is the 2nd screwup in as many days. I want the correct edition.,order_issue,"@126341 I'm sorry for the frustration! When you have a moment, please reach out to us by phone/chat here: https://t.co/EKXRLsnxJu ^AC",ESCALATE,Wrong product edition and repeated failure,ESCALATE,True
99933,"@AmazonHelp hola, intentamos hacer un pedido con una cuenta nueva de amazon. Se nos solicitó copia del edo de cuenta bancario, la enviamos pero no hemos tenido respuesta en 10 días y el pedido no aparece en el historial. A qué correo podemos comunicarnos?",account_issue,"@137881 Aldo, lamentamos los inconvenientes. Si ya enviaste la información a la dirección de correo que se te brindó, el departamento encargado debe estudiar lo sucedido y se te notificará tan pronto como sea posible. ^VL",ESCALATE,Account verification issue with no response,ESCALATE,True
69969,@AmazonHelp done. Hope someone helps and just doesn't give us false promises this time🙄,other,@131829 Thanks for sharing your details. We'll check and get in touch with you with an update at the earliest. Appreciate your patience until then. ^HS,ESCALATE,Customer reports previous false promises,ESCALATE,True
114373,Wieso kann man @6587 Freitag-Spiele nicht zeitversetzt schauen? (Frage aufgrund negativer Erfahrung nach #VfBBVB und in Anbetracht #H96VfBِ) #eurosportplayer @116316 @6588. Da lobe ich mir @6589.,other,"@141426 Hi, solltest du den Eurosport Player über die Amazon Channels gebucht haben, findest du hier das Spiel Stuttgart gegen Dortmund: https://t.co/UPRIr7z74c Gruß ^MI",AUTO-HANDLE,General product/service information,AUTO-HANDLE,True
108076,@AmazonHelp It’s working on my tv downstairs now! I’m going to take it upstairs again and see if okay there too now.,product_device_issue,@139997 Please keep us informed of how this goes! ^DO,AUTO-HANDLE,Routine device troubleshooting follow-up,ESCALATE,False
16877,@AmazonHelp @119704  https://t.co/rUjHdeMm9G,other,"@119703 However, you need to adhere to guidelines here: https://t.co/jimvgYJFRD to post review. (2/2) ^SV",AUTO-HANDLE,General review-related information,AUTO-HANDLE,True
26975,@AmazonHelp can someone from your team call me.,other,@121902 You may reach out to our support team via phone/chat/email here: https://t.co/2t6DQoUmNZ. ^MM,ESCALATE,Explicit request for a phone call,ESCALATE,True
693,@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,prime_issue,@115852 We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ ^MB,AUTO-HANDLE,Routine Prime benefits question,AUTO-HANDLE,True
22172,@AmazonHelp I submitted all the details. Thank you for reply. Expecting a quick response over my refund. Hope @115850 deliver Customer satisfaction.,refund_return,@120839 You're welcome. We're working on the issue and shall get back to you soon. ^SH,AUTO-HANDLE,Routine refund status,AUTO-HANDLE,True
13558,@115821 any idea when this order will arrive? I have a sassy Brit since grocery stopped carrying his @118826 #teatime #isthisatrick https://t.co/wb8uMOsjcW,delivery_issue,@118825 I'm sorry there was a delay! Let us know if your package doesn't arrive by November 2. Please keep us posted on its delivery. ^TN,AUTO-HANDLE,Routine delivery-status question,AUTO-HANDLE,True
3751,@AmazonHelp Sadly yes,other,@116617 What devices are you using for Amazon Video? ^AN,AUTO-HANDLE,Simple product clarification,AUTO-HANDLE,True
14298,@AmazonHelp @115821 consider leaving the delivery of packages to the experts at @115817 or @81. Obvious decline in service when it’s @115821 logistics.,delivery_issue,@119041 We'd like to take a closer look to see what we can do. Please reach out with more information here: https://t.co/AdBZ9CgtFD ^DG,AUTO-HANDLE,General delivery complaint without specific intervention,AUTO-HANDLE,True
115931,"@AmazonHelp não funciona! já tentei cancelar e não consigo. a página diz que cancelou, mas a compra continua lá!!!!",cancellation_issue,"@141816 Sinto muito pelos inconvenientes Alves! Neste caso te o link do mesmo não esta dando certo, por gentileza entre em contato com nosso serviço ao cliente para suporte personalizado, segue o link: https://t.co/8XeQLpNmIE com muito prazer ajudaremos você! ^CJ",ESCALATE,Cancellation failed and requires support action,AUTO-HANDLE,False
91494,hey amazon how can he sell the phone above MRP @115850 @135832 @135833 @135834 https://t.co/WsrwhXISsQ,other,"@135831 Upon checking I see that the product is fulfilled by seller. Prices on our website is offered as per seller's discretion. Thank you for flagging this, we will forward this internally as feedback for review. ^BV",AUTO-HANDLE,General seller pricing question,AUTO-HANDLE,True
59550,@AmazonHelp i just ordered this light and after i placed my order it changed my 2 day shipping to next monday ??? https://t.co/RvLY0Ro5Ga,delivery_issue,"@129583 (2/2) While we strive to ship items as quickly as possible, some orders may take extra time to process. ^WT",AUTO-HANDLE,Shipping-date information,AUTO-HANDLE,True
65869,@AmazonHelp @115850 @115821 I contacted your customer service center and even selected return option. But service boy refused to take back product this is fruad .I want to share such fruad info with people to aware of your such fruad work,refund_return,"@131066 Please confirm, if you have shared your details on the link that was provided to you earlier. If not yet, then I'd request you to please do so that we could check and get this resolved at the earliest. ^KK",ESCALATE,Return pickup failure and fraud allegation,AUTO-HANDLE,False
