customer_tweet_id,customer_id,customer_message,amazon_reply_id,amazon_reply,intent,label_notes
41535,125128,"@125129 @116316 sperrt Business Konto von Firma, weil ein Mitarbeiter (Besteller) negativen Saldo bei Amazon aufweist. Kein Scherz!",41534,@125128 Bei Fragen kannst du dich gern an den Business Kundenservice wenden. Den Button findest du links: https://t.co/o5LGZCgnt7 Gruß ^MH,account_issue,
91395,134785,@AmazonHelp I don't have the details of that account. Does that mean i wont be eligible for a refund. If you want to check that much i have product. Send a delivery boy and i will return it!!,91397,@134785 I'm sorry as we wouldn't be able to provide any further information until we receive the updated details. (2/2) ^VM,refund_return,
80582,133885,"@AmazonHelp I contacted you guys via the link above and the rep told me they contacted the carrier (UPS) and my packages would be delivered today. Unfortunately, here we are, 12 hours later.... still no packages.",80584,@133885 I'm sorry your order has yet to arrive! What does the most recent tracking update from the carrier show here: https://t.co/Y5jpI9gRhE? ^BN,delivery_issue,
47902,126712,"@119625 Library needs an update,new collections of movies is what is urgently needs.",47901,@126712 Thank you for the feedback. I'll surely pass this to the team internally! ^PR,product_device_issue,
80682,133897,@115850 package is out for delivery still haven't received it yet.The tracking ID:115107715754. Delivery guy not answering the call.,80680,@133897 I'm sorry your facing the delivery issues. We deliver the packages till 8pm. I request you to kindly wait till this time frame. Do keep us posted for any further concerns. We're here to help. ^HS,delivery_issue,
67421,131783,@131398 @115830 Their delivery driver chucked one over our back gate yesterday and said it’d been signed for!!,69652,@131783 I'm sorry to hear this Glenn. Was your product damaged at all?^PJ,delivery_issue,
105225,139239,"@AmazonHelp Hello nice to see in my passbook that you have successfully refunded my amount of INR 3,260/-.. But as a matter of fact... I still have the product with me.. This was just to inform you guys https://t.co/hSat9yuZ96",105223,@139239 Thank you for letting us know. We'd like you to return the item to us. Please reach to our support team here : https://t.co/TdDksLo6Mf and we'll have this checked. ^SD,refund_return,
30042,122607,@AmazonHelp The link you have provided is also not working like your service to me.. you should train your Delivery boys first... Then do business,30044,@122607 I'm sorry to know about that. Could you please let us know what error you're are getting ^MP 1/2,other,
5242,125691,"@115850 You don't deliver to Imphal , Manipur 795001. Even though I am prime member. So not buying one...till you deliver.",43696,"@125691 Due to certain regulatory and operational restrictions, we're unable to offer delivery services at some pin codes. We are working on expanding our services. ^NR",delivery_issue,
101224,138150,"@115850 @5869 @132995 Sir I have better business mind more then who do MBA, but I have no any platform 
I request give me opportunity for this. I promised I will not get salary one year.",101222,@138150 Thank you for showing your interest in working with us. You can have a look at all the available job positions here: https://t.co/X1y8LFPsMo ^AM,other,
8524,117497,@AmazonHelp my original echo some time say things without asking here anything ! This is really wired and creepy and scary!!,8523,"@117497 Hmm, that's strange! Try going to Settings and reviewing your history. From here, you can see what prompted your Echo. ^FD",product_device_issue,
93714,136313,"@136314 I've had to temporarily cancel Unlimited because I am broke af 😅 but on my basic prime music that I still have, it's not playing things in the listed order? It haven't put it on shuffle. Is that a thing now if you're not Unlimited? :/",93712,@136313 I'm sorry your music isn't playing in order. Have you tried turning on the shuffle option and removing it once more? I also recommend reinstalling the app. ^RA,product_device_issue,
61019,122220,@AmazonHelp Wo ich es vorbestellt habe war das Game für 67.98 Euro und jetzt bezahle ich 62 Euro bekomme aber Rabatt dank Prime 2 Euro?,61018,@122220 Das lässt sich über Twitter schwer beantworten - du müsstest aber alle relevanten Informationen per E-Mail erhalten haben. ^MI,payment_issue,
21542,120701,@AmazonHelp Good morning Amazon idiots... third day in a row... today's delivery guys number 70385 67720....can u idiots call him and ask him to deliver... Bunch of incompetetive morons...get this sorted out today...n don't use empathy n sympathy,21543,"@120701 I get your concern, please check for an email from our team here: https://t.co/NTkrxpsbHJ. ^PS",delivery_issue,
93706,136312,@AmazonHelp And you’ll get me a replacement tonight? I’m currently taking my kids to their after school clubs so won’t be able to check until at least 7pm. Later if I need to assemble the telescope first to check.,93707,"@136312 We won't be able to tell you what is available for your order since we don't have access to account information here. When you have time, please reach out and we can look into this for you. ^VS",product_device_issue,
89104,135279,"@115821 y do u guys do business w @118706 to do large shippings!? They didn't even deliver my package as expected! My folks were home &amp; siblings said they saw them outside &amp; they didn't deliver anything! Yet, got an email saying: it was ""attempted"" but my box was full/large package",89102,"@135279 I'm sorry to hear of this. Have you contacted us directly about this? If so, what were you advised? ^KI",delivery_issue,
69869,134337,"@115850 Voh chodo,contest ke baare me update kyo nahi dete?",83462,@134337 Could you please confirm about the contest you would to like to get an update on? ^MD,other,
63931,130686,Hey! @116928 y @130687 alguno podría decirme porqué no llegó mi paquete tras estar todo el día “en reparto”? Alguien se va a responsabilizar por hacerme perder un día esperándolo?,63930,"@130686 Hola Jose, lamento mucho el inconveniente, por favor en el caso de no recibir respuesta por parte del transportista al final del día por favor ponte en contacto con nuestro Soporte al Cliente: https://t.co/OjvUxwnzPe  ^AD",delivery_issue,
80591,133886,@AmazonHelp con el soporte no hay problema siempre me atienden en español.en este caso me refiero es al código de verificación de 2pasos. Que cuando solicito la llamada una computadora me habla en inglés. Dictando todos los números.quería saber si se puede cambiar eso a español,80589,"@133886 De momento solo contamos con la opción de llamada en inglés. Puedes intentar activando la opción de recibir el código por mensaje de texto: https://t.co/xiydeYQiGc 
^DB",account_issue,
50749,127384,@115850 thanks for 5180770843835. Will never forget this... will buy my next product from a roadside vendor but #amazon ever...go to hell,50748,@127384 Apologies for any ordeal. Could you let us know what went wrong? We'd like to look into it. 1/2 ^HD,other,
1721,116088,@AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,1723,"@116088 We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB",other,
36597,123971,"@AmazonHelp @115850
Pathetic software . Never receive call. Check snapshot..

Pathetic post sales service https://t.co/peqBNSVrZ2",36598,@123971 Thanks a bunch for sharing your details. We shall reach out to you at the earliest. ^CB,other,
65762,131042,@AmazonHelp  https://t.co/1P0u4Qd6HE,65805,"@131042 Hi, is the white one refurbished or new ? ^CR",other,
75997,133010,"@AmazonHelp when give my refund 
Order date

03-Oct-2017

Order #

404-4257423-7818717",75996,@133010 Please don’t provide your details as we consider them to be personal information. Our Twitter page is visible to public.  (2/2)^YP,refund_return,
111910,140853,@AmazonHelp Live in the UK and was ordered Tuesday ...,111912,"@140853 We'd like to take a closer look at the order with you and assist directly, please reach us via phone or chat using this link: https://t.co/JzP7hlA23B ^JR",order_issue,
121108,142955,@115821 problems with Instant Video on Xbox One currently?,121106,"@142955 I'm sorry for the inconvenience! Please check here for possible solutions: https://t.co/SrTaNuJzMd
^MO",product_device_issue,
18174,120037,@AmazonHelp Your customer service has reverted saying that apparently the package has been delivered and signed by receipt my yesterday. Not true.,18175,@120037 Sorry for the trouble with the delivery. Kindly drop in your details here: https://t.co/2nQ2CFxoWn and we'll work on it.^NS,delivery_issue,
77635,133295,@115850 @AmazonHelp this is not the first time i experienced this poor service...check your records i ordered this producg second time in a week trusting you but still does not get product delivered..it cost nothing but customers time if u understand,80801,"@133295 I get your concern regarding the packaging. As mentioned earlier, we have forwarded your comments as feedback to our concerned team. Kindly let us know if you are facing any issue with the item received. ^RI",delivery_issue,
91427,135817,@AmazonHelp so my package was to be delivered by 8:00 today. It’s 8:20 still not here. Now I just get an alert it won’t be here until Saturday. That’s not why I signed up for Prime....,91426,"@135817 I'm so sorry for the delay with your order! Though delays are possible, they should be rare. We always strive to make the provided delivery date. To confirm, has a carrier been assigned to your shipment: https://t.co/Y5jpI9gRhE? ^ST",prime_issue,
28882,122362,@AmazonHelp I have booked a package to my office address. Actually every week Saturday is holiday but this week it's on Monday.(1/2),28881,"@122362 Sreedhar, please get in touch with our support team here: https://t.co/vlvfJr4nN9 and we'll check this for you. ^HN",delivery_issue,
77343,133241,"@115850 Pathetic..Again ur delivery is delayed and this tym it is not even half way mark. This is happening to ur Prime User. Can it be expedited.
Wat has happnd to ur delivery service...goin bad to worst..
My Order Details below https://t.co/wMgkZ9PN31",77341,"@133241 Sorry for the delay in the delivery. May I know if you have reported this to our support team here :https://t.co/2t6DQoUmNZ? Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^PR",delivery_issue,
108157,140009,"@AmazonHelp Minha conta é no Banco do Brasil, cartão Elo ...",108156,"@140009 Sérgio, atualmente aceitamos cartões de débito das bandeiras Visa e Mastercard emitidos pelos bancos Bradesco, Itaú e Santander e Banco do Brasil, você pode verificar nossas formas de pagamento aceitas no seguinte link:https://t.co/Ugn55mlaTx  ^HC",payment_issue,
124088,143753,@AmazonHelp UAE United Arab Emirates,124090,@143753 Please try to transfer your Amazon Music account to another marketplace by following these steps: https://t.co/FFtOCf6eyL. Let us know if this works. ^SH,other,
80708,133902,@AmazonHelp Merci :),80707,"@133902 Je vous en prie 😍
🎄Sara 🎄",other,
56851,128879,@120474 Morrissey presale allowing buying 2 tickets  for 2 venues(altho email said 1 venue only).Will 2nd order be ok or cancelled?,56849,@128879 Hi! We'll be best-equipped to provide insight about this if you reach out to us here: https://t.co/5BkTaIxWoU ^WT,order_issue,
44516,125877,@AmazonHelp Merci le soucis c'est que contacter votre SAV il faut être connecté à priori :-),44518,@125877 Vous pouvez les joindre directement sur le numéro suivant: 08 05 10 14 20 ^BR,account_issue,
29564,122492,@AmazonHelp Hey guys! Just downloaded the #Alexa app but unable to finish the set up after this stage. I connected my phone to the Amazon wifi. 1/2 https://t.co/pvVYFKAVSx,29563,@122492 Sorry for the hassle. Please connect with our support team here: https://t.co/HQhpS2qeEd for a better assistance. ^MS,product_device_issue,
44535,125880,"@AmazonHelp De acuerdo, gracias!",44536,"@125880 Con gusto Obed, estamos para asistirte. ^KS",other,
19477,120324,"@115821 broke family&amp; friends trust.Ordered a product month ago,return/refund requested on same month, but still waiting for pickup &amp; refund https://t.co/noCu65cIeB",19476,@120324 as possible. Kindly drop your details here: https://t.co/Bt7pD1u7yO and I'll get back to you. 2/2 ^SH,refund_return,
111945,140861,El servicio de Amazon Prime deja bastante que desear. Las entregas en un día o dos se convierten en entregas de una semana. Lamentable. Para esto pagamos un servicio... @116928,111944,"@140861 Hola Icardi, lamentamos las molestias. ¿Podrías confirmarnos si tienes un pedido pendiente de entrega? ^DA",prime_issue,
69913,131820,@AmazonHelp No update till now! :(,69912,@131820 I understand this is taking longer than expected. Kindly stay tuned for our team to reach out to you soon with an update. ^VM,other,
77518,133269,@133270 @115850 This incident already done with us...Amazon service is very cheap &amp; poor  in india ....I ordered samsung phone and we got the bathing &amp; washing soap instead phone.....,77516,"@133269 Hello khan, I apologize for the bad experience. Could you confirm if the issue has been resolved? ^SP",order_issue,
20766,12564,@115850  Echo Dot arrived early  11:30 AM all thanks to @120543 👏 https://t.co/amtySnTsFd,20765,@12564 Woohoo! That's awesome!  I hope if you ever need anything you will let us know. :-) ^AK,other,
55049,127283,".@115821 wants 6.99 for one day shipping but are unreliable, second time this has happened. Where's my order?",55047,@127283 I'm sorry that we've let you down. What's the tracking information state here: https://t.co/Y5jpI9gRhE? ^TR,delivery_issue,
51612,127584,"@AmazonHelp 1st I called,amazon Call center dey said u will receive cheque.2nd time I called they said money will be credited soon.3rd time call to bank",51614,@127584 I’m sorry about that. I’d like to assist you. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^NK,payment_issue,
15268,119350,.@115850 @AmazonHelp thanks for no replies whatsoever on my complaint.an you please tell me what more should I do? @119351 @1015,15267,@119350 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/2),other,
27352,121990,@AmazonHelp I was told for the past 3 days to check my local office because I shoud have the items by now,27354,@121990 Could you please confirm if these items were shipped by Amazon or by a seller? You can find that here: https://t.co/Y5jpI9gRhE ^SD,delivery_issue,
91391,134785,@AmazonHelp @115850 problem not solved yet. No one contacted me yet. I think i lost my money.,91392,@134785 You would have received a correspondence to your registered email ID. Kindly check it here: https://t.co/8DAc10S7ww and reply us with your concerns. ^SC,other,
65635,131026,@AmazonHelp @131027  @115851  @ amzon CEO can some help me .we are cheated by amzon and no one responding .feeling helpless,65636,"@131026 Hi, we will contact you with an update soon. Sorry for keeping you wait. ^OG.",other,
86132,134801,"@AmazonHelp And when I complained, they were unhelpful and blase. They told me even today that it might arrive today. Despite UPS telling me that it wouldn't. They are rude and ill informed. And they lied.",86133,"@134801 Hi Ryan, really sorry that you've had a bad experience trying to get your issue resolved. Please allow us another opportunity to look into this for you: https://t.co/CYqkdUakWJ ^JC.",delivery_issue,
27847,122096,@115850 Order No. #402-4667119-6645143 return requested but not yet received  the refund.Amazon do something regarding it. https://t.co/vYGomUmP8L,27854,"@122096 We'd like to take a closer look at this, please share the details here: https://t.co/GIJyeYqKE0 and we'll sort this out. ^MS",refund_return,
111814,140835,"@AmazonHelp To answer your question, the order hadn’t been shipped. This was maybe 1 hour or so after the order was placed.",111811,"@140835 Once an order is being prepared for shipment, we are unable to alter the order in any way. ^ZW",order_issue,
35141,123651,"@115850 
ORDER # 405-0563842-3521944.  When I ordered it, there was cashback of 10% on using icici card.  I did not get the cash back",35140,@123651 Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^SG(2/2),payment_issue,
22219,120852,@115850 @AmazonHelp @115851 #my Prime membership expired &amp; I got a notification AFTER that. Now I've had to renew at higher cost. (1),22218,@120852 That's definitely something we must look into. Apologies for this. I'd share this feedback internally with the right team. ^JC,prime_issue,
95442,136752,@AmazonHelp No that's why I reached out. What other troubleshooting should I do? I'm using a Tap and have an Amazon Music Unlimited account. thanks.,95443,@136752 Let's take a deeper look into this in real-time via phone or chat here: https://t.co/hApLpMlfHN ^ML,product_device_issue,
109887,140396,@115830 does this class as being delivered to my house?! Shocking! https://t.co/Q8rNlpSFdv,109885,"@140396 I'm so sorry for any trouble! Do you have a safe place for your deliveries set up? If not, you can select one to prevent this from happening in the future: https://t.co/janYw9SSTh ^BL",delivery_issue,
101702,138279,"still can’t get over the fact that @115830 have lost my telly, like how can someone lose a 49inch telly😂🤷🏻‍♂️",101701,@138279 Oh no! I'm sorry for the lost item! Were we able to provide options for either a refund or replacement? ^JO,delivery_issue,
42558,125402,"@amazonhelp so frustrated with your customer service. Out for delivery/resched then told packing slip torn, then package damaged.No solution",42556,"@125402 Just to clarify, was the package returned because it was damaged or did you receive a damaged order? ^VS",delivery_issue,
25306,121473,@AmazonHelp Wasn’t even brought up. I called and used the chat. Very disappointed.,25304,@121473 My team would like to look into helping with this. Please provide your info &amp; we will reach out: https://t.co/2kHRWcnKYj ^RM,other,
18702,120173,@AmazonHelp It says wrong product has sent .. refund cannot be given ... u kindly ask ur courier guy n confirm me what was given to him ..,18703,@120173 Kindly reply to the email that we've sent. We'll investigate this further. ^SG,order_issue,
73628,132467,"After playing with Echo Plus since afternoon my daughter asked me ""Does is know only English or it can understand Malayalam"" 😁",73625,@132467 She's new here and only understands English. We're hopeful she'll pick-up regional languages soon 😊 ^VN,product_device_issue,
105296,138920,@AmazonHelp Amazon dice di aver dato il pacco al corriere il corriere dice di non aver ricevuto il pacco 🤥,105295,@138920 Qual è la data prevista di consegna? Consulta anche la nostra pagina d'aiuto relativa alle informazioni mancanti sulla tracciabilità: https://t.co/42CzDkS7Vn. ^EA,delivery_issue,
35905,123814,@AmazonHelp How short is your shortly? A response with an ETA would have been professional,35906,"@123814 Once we receive the details, we'd get back to you the latest by 12 hours. Appreciate your patience. ^BS",other,
89116,135279,"@AmazonHelp I specifically called you guys, during my break(11/30), at 845AM.. the lady on the phone got in touch with @118706 AND emailed me stating: another redelivery is in place and WILL be there from 5-6PM TODAY!",89117,"@135279 I'[m sorry for the continued issues. If you would prefer to pick up the package instead, you can contact your local USPS to arrange that they hold it there for you. Likewise, late packages usually show up within 24 hours. Please keep us updated on this. ^SG",delivery_issue,
22489,120916,"@AmazonHelp Bringt nichts, da ich heute Abend Hannover wieder verlasse und die Bestellung für meine Eltern ist, ich es aber für sie einrichten muss...",22490,"@120916 Ohm, das ist dann richtig doof 🙁 Ich hoffe, ihr findet eine Lösung. ^AN",order_issue,
46526,126332,Very unimpressed with @115830 customer services today!,46523,"@126332 Truly sorry, this isn't what we intend! Without personal or account info could you tell us a bit about what's happened? ^JE",other,
67577,131428,Studying @3973 articles on @115821 #Kindle using article-mode is amazing🤓🤓 https://t.co/eXWWXCrYwM,67576,@131428 Glad to hear your enjoying it! ^MI,other,
13567,118829,@115821 it’s not nice to upset a kid (my daughter) on Halloween waitin’ for her dress it was prime and extra paid and you guys failed her !,13566,@118829 I'm sorry for the delay in delivery. Could you let us know from which website did you make the purchase? ^RW,delivery_issue,
24479,121279,@AmazonHelp once again can you tell me why my one day delivery items haven’t even been dispatched yet and are supposed to be here today?,24477,"@121279 Hi Sian, orders are often dispatched &amp; delivered on the same day, as our carriers deliver until 9pm. ^TS",delivery_issue,
29969,122593,Order# 171-0392701-6255505 @115850 #Amazon product has to come on 31 October. but still not an update.,29967,@122593 Please don’t provide your order details as it is personal information. Our Twitter page is visible to the public. ^MS,delivery_issue,
78732,133563,"@AmazonHelp Hey, my friend has checked around and with neighbours and no one has seen the package",78730,@133563 Do you know which courier delivered it? ^KI,delivery_issue,
22197,120848,"Thanks @115830. Paid for prime membership to ensure next day delivery, 5 days later still waiting. No sd card for me then #AmazonWhine",22195,@120848 Sorry to hear this. Has any reason been given for the delay? ^KM,delivery_issue,
108108,140000,"@AmazonHelp Es vuestro y me consta en la pagina que llego al destino a las 20:30 de ayer, es decir ASM y que hoy estaba en reparto.",108110,@140000 Gracias por la información. En este caso para brindarte atención personalizada puedes ponerte en contacto con nuestro servicio al cliente a través del siguiente enlace: https://t.co/OjvUxwnzPe. ^MZ,delivery_issue,
105163,139224,@AmazonHelp It has apparently been delivered but hasn’t arrived. Phoned twice and still no success. Why do I have to speak to people in the Philippines etc? Appalling service.,105162,@139224 I am sorry about the package delay! Here is some information that may help when tracking says it is delivered: https://t.co/HsFIe2kmhD ^DJ,delivery_issue,
77581,133287,"Ontem tava falando que ainda ia chegar o meu produto. Hoje diz que foi entregue na terça-feira. Nem a @117086 e a transportadora diz que ta entregue, pelo rastreamento. os porteiros dizem que não entregaram nada. E ngm sabe cade a encomenda. Que beleza",77580,"@133287 Oi Maria, sinto muito o ocorrido. Poderia me informar se você já reportou esta situação com nosso Serviço ao Cliente? ^AZ",delivery_issue,
64086,130711,"@130712 @130713 @1445 Damn, love these. But amazon screwed up my order and now I got the orange. ☹️ https://t.co/i9DNqQOtKs",64084,"@130711 Hi Michael, sorry to hear about this. You can organise a return for the item at our Online Returns Centre: http:https://t.co/DLe9KUYAqA. ^PJ",order_issue,
24524,121288,"@115850 it is really sad to know that you ppl sell lots of book online, but don't give one bookmark also with books.",24525,@121288 I’m sorry if you have not received a bookmark with any order of the book that you purchased. (1/2)^SF,other,
124801,143957,"@AmazonHelp @123967 Very interesting dynamics @AmazonHelp first getting confirmation that delivery has been located and still coming, then after engaging again wrong message not correct and now no alternative option. Yeah right #CustomerExperience goes wrong",124799,"@143957 I'm so sorry you haven't received your order, despite the delivery confirmation. When you contacted us last, what information or options were we able to provide? ^JN",delivery_issue,
21069,120613,"@AmazonHelp This is da third time am providng the details. Sorry, but i donot have the time.If i dont get the product,i wll make sure you guys regret it",21071,@120613 We haven't received your details yet. Kindly share your details through the link provided above so that we 1/2 ^SH,other,
16454,119624,@119625 @1092 Please upload jaya janaki nayaka full movie bro or balakrishna paisa vasool movie bro,16452,@119624 where we highlight the latest movies and TV shows we have available. (2/2)^SF,other,
111889,140847,The customer service from @115830 &amp; @122232 is just atrocious,111887,"@140847 I'm sorry for the poor experience! This isn't the expectation we've set. Without giving account/personal account details, can you please provide us with more information? ^AC",other,
65806,131042,@AmazonHelp Both the white and black ones I was looking at were refurbished,65807,"@131042 Hi Kelsey. If you have a moment, could you reach out to us here: https://t.co/JzP7hlA23B so that we can take a look at this with you in real time?^TI",payment_issue,
22196,120848,@AmazonHelp Not that I can see https://t.co/c3atGuyoON,22198,@120848 Thank you for the information. We'd like to look into this. Please contact us via phone/chat: https://t.co/JzP7hlA23B. ^AL,other,
65742,131040,"@AmazonHelp @115851 Today is continously third day of false promises. Sure that today also it will not be delivered,tried every step told by u .",65741,"@131040 Apologies for the delay in delivering the product. As informed earlier, kindly share your details in the link provided by 'JS' so that we can get this sorted. ^SC",other,
86167,134810,When your Boss orders a swimming noodle for a 🎄 project &amp; the box is big enough for you to fit in it @115830 surely this is a waste?😂😩🤷🏻‍♀️ https://t.co/3wcxT6OUTU,86166,@134810 We're always looking for ways to improve. Please send us your packaging feedback here: https://t.co/lSVN3kb44b ^CO,order_issue,
99921,137880,@AmazonHelp Pues me he organizado un tremendo lio al crear la cuenta y no entiendo algunos conceptos. NECESITO AYUDA PERSONALIZADA. GRACIAS,99923,@137880 Te recomendamos entrar en contacto con nuestro departamento de Servicio al Cliente por medio del siguiente enlace: https://t.co/3VUNgKvI9r ^FZ,account_issue,
93730,136318,@136319 @115821 I’m waiting on one now too that was supposed to arrive Monday. Now it’s Wednesday night and no package yet. Hearing it from many friends.,93729,"@136318 I'm sorry you haven't received your item! Were you given an updated delivery date? If no, can you please provide us with the carrier, found here: https://t.co/q4LAMZ3tbE ^AC",product_device_issue,
13149,118701,@AmazonHelp asm mentioned before. You all are just idiots.,13150,@118701 Thanks for replying. We'll get in touch with you soon. Appreciate your understanding. ^AK,other,
105113,139220,@AmazonHelp And anytime I contact the support for a fix I get same provoking automated messages (see image attached). https://t.co/GPFmJgcsp0,105116,@139220 An account specialist is the best one to address this and answer any questions/concerns you may have. Feel free to reply to the e-mail you received from them. ^VR,refund_return,
65859,131064,"@AmazonHelp Amazon.de it says ""delivered"" in the website but the carrier it's still ""on its way to the distribution center"", but for 2 days it showed ""out for delivery"" in the carrier. I spent those 2 days at home so I could receive it but it never arrived.",65857,@131064 Please contact our customer service via https://t.co/24XL9C4y1x as we do not have any access to your orders here. My colleagues will take a closer look at this. ^KM,prime_issue,
95339,136732,@121284 Fire TV not integrated with echo!!,95338,@136732 I get your concern about the device integration. Please reach us from here: https://t.co/rS49hgaADF we'll look into this and assist you. ^SV,other,
33300,123358,@AmazonHelp I have already contacted them since two days but issue not yet solved.,33302,@123358 We'd like to help you with this. Kindly share your details here: https://t.co/beaaDm0muc and we'll contact you soon. ^MO,order_issue,
121067,142945,"@116875 lleva ya casi una semana mi pedido parado, sin recibir respuesta o atencion de lo que sucede, ¿pueden ayudarme?",121066,"@142945 Hola, Monroy. Lamentamos este inconveniente. ¿Cuál es la fecha de entrega estimada de tu pedido? ¿Es vendido y distribuido por Amazon o por un vendedor externo? ^ES",other,
77624,133292,"@118919 can you provide an assistance regarding a product i ordered because i received an email to review on the product when in fact it has not been delivered to me. The expected date of delivery mentioned was 28Nov, no attempts for delivery whatsoever",77622,@133292 Apologies for the delay. Have you reported this to our support team here: https://t.co/vlvfJr4nN9? We'd like to check this for you. ^RB,delivery_issue,
21014,118505,@AmazonHelp Ur customer care is disconnecting my call by saying that we would not be able to give you any further I sight over this issue.Please explain,21016,@118505 be able to provide any further insight on this. 2/2 ^SH,payment_issue,
